Handle,Title,Recommendable (product.metafields.calculator.recommendable),System Type (product.metafields.calculator.system_type),Zone Count (product.metafields.calculator.zone_count),Unit Type (product.metafields.calculator.unit_type),Series (product.metafields.calculator.series),Nominal BTU (product.metafields.calculator.nominal_btu),Outdoor Capacity BTU (product.metafields.calculator.outdoor_capacity_btu),Head Configuration (product.metafields.calculator.head_configuration),Head Vector Key (product.metafields.calculator.head_vector_key),Connected Head Total BTU (product.metafields.calculator.connected_head_total_btu),Connected Capacity Ratio (product.metafields.calculator.connected_capacity_ratio),Climate Min F (product.metafields.calculator.climate_min_f),Climate Max F (product.metafields.calculator.climate_max_f),Climate Tier (product.metafields.calculator.climate_tier),SEER2 (product.metafields.calculator.seer2),Refrigerant (product.metafields.calculator.refrigerant),Merchandising Priority (product.metafields.calculator.merchandising_priority),Data Quality Score (product.metafields.calculator.data_quality_score),Voltage Policy (product.metafields.calculator.voltage_policy),Heating Sizing Supported (product.metafields.calculator.heating_sizing_supported)
della-motto-series-12000-btu-20-seer2-mini-split-heat-pump-ac-115v-up-to-550-sq-ft,"DELLA Motto Series 12000 BTU 20 SEER2 Mini Split Heat Pump AC – 115V, Up to 550 Sq.Ft.",TRUE,single_zone,1,wall_mounted,Motto,12000,12000,,12000,,,5,118,mild,20.0,R32,50,100,check_product_page,FALSE
della-motto-series-18000-btu-19-seer2-mini-split-heat-pump-ac-up-to-1000-sq-ft,DELLA Motto Series 18000 BTU 19 SEER2 Mini Split Heat Pump AC – Up to 1000 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Motto,18000,18000,,18000,,,5,118,mild,19.0,R32,50,100,check_product_page,FALSE
della-motto-series-23000-btu-19-seer2-mini-split-heat-pump-ac-up-to-1500-sq-ft,DELLA Motto Series 23000 BTU 19 SEER2 Mini Split Heat Pump AC – Up to 1500 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Motto,23000,23000,,23000,,,5,118,mild,19.0,R32,50,100,check_product_page,FALSE
della-motto-series-9100-btu-19-seer2-mini-split-heat-pump-ac-230v-up-to-400-sq-ft,"DELLA Motto Series 9100 BTU 19 SEER2 Mini Split Heat Pump AC – 230V, Up to 400 Sq.Ft.",TRUE,single_zone,1,wall_mounted,Motto,9100,9100,,9100,,,5,118,mild,19.0,R32,50,100,check_product_page,FALSE
della-motto-series-9100-btu-20-5-seer2-mini-split-heat-pump-ac-up-to-400-sq-ft,DELLA Motto Series 9100 BTU 20.5 SEER2 Mini Split Heat Pump AC - Up to 400 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Motto,9100,9100,,9100,,,5,118,mild,20.5,R32,50,100,check_product_page,FALSE
della-optima-cloud-air-series-27000-btu-dual-zone-mini-split-ac-9-k-9-k-9-k-up-to-1200-sq-ft,DELLA Optima CloudAir Series 27000 BTU Tri-Zone  Mini Split AC (9K+9K+9K)  - Up to 1200 Sq.Ft.,TRUE,multi_zone,3,wall_mounted,Optima,27000,27000,9K+9K+9K,9000-9000-9000,27000,1.0,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-12000-btu-23-seer2-ultra-heat-mini-split-ac-up-to-550-sq-ft,DELLA Optima CloudAir Series 12000 BTU 23 SEER2 Ultra Heat Mini Split AC - Up to 550 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Optima,12000,12000,,12000,,,-13,131,cold,23.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-12000-btu-24-seer2-ultra-heat-mini-split-ac-up-to-550-sq-ft,DELLA Optima CloudAir Series 12000 BTU 24 SEER2 Ultra Heat Mini Split AC - Up to 550 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Optima,12000,12000,,12000,,,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-18000-btu-23-seer2-ultra-heat-mini-split-ac-up-to-1000-sq-ft,DELLA Optima CloudAir Series 18000 BTU 23 SEER2 Ultra Heat Mini Split AC - Up to 1000 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Optima,18000,18000,,18000,,,-13,131,cold,23.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-18000-btu-dual-zone-mini-split-ac-9k-9k-up-to-800-sq-ft,DELLA Optima CloudAir Series 18000 BTU Dual Zone Mini Split AC (9K+9K)  - Up to 800 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,18000,18000,9K+9K,9000-9000,18000,1.0,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-23000-btu-23-seer2-ultra-heat-mini-split-ac-up-to-1500-sq-ft,DELLA Optima CloudAir Series 23000 BTU 23 SEER2 Ultra Heat Mini Split AC - Up to 1500 Sq.Ft.,TRUE,single_zone,1,wall_mounted,Optima,23000,23000,,23000,,,-13,131,cold,23.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-27000-btu-dual-zone-mini-split-ac-9k-18k-up-to-1400-sq-ft,DELLA Optima CloudAir Series 27000 BTU Dual Zone Mini Split AC (9K+18K)  - Up to 1400 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,27000,27000,9K+18K,9000-18000,27000,1.0,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-35000-btu-dual-zone-mini-split-ac-12k-23k-up-to-2050-sq-ft,DELLA Optima CloudAir Series 35000 BTU Dual Zone Mini Split AC (12K+23K)  - Up to 2050 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,35000,35000,12K+23K,12000-23000,35000,1.0,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-35000-btu-dual-zone-mini-split-ac-18k-18k-up-to-2000-sq-ft,DELLA Optima CloudAir Series 35000 BTU Dual Zone Mini Split AC (18K+18K)  - Up to 2000 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,35000,35000,18K+18K,18000-18000,36000,1.0286,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-35000-btu-dual-zone-mini-split-ac-9k-23k-up-to-1900-sq-ft,DELLA Optima CloudAir Series 35000 BTU Dual Zone Mini Split AC (9K+23K)  - Up to 1900 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,35000,35000,9K+23K,9000-23000,32000,0.9143,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
